quantity,unit,category,food_type,people_fed
37.3,kg,Other,veg,93
90.6,plates,Cooked Meal,veg,97
11.7,kg,Cooked Meal,veg,28
37.0,plates,Bakery,nonveg,41
228.8,pieces,Dairy,veg,122
47.9,liters,Produce,veg,106
19.6,kg,Produce,veg,36
27.3,kg,Produce,nonveg,55
41.6,kg,Packaged Food,nonveg,110
3.2,liters,Dairy,veg,11
257.3,pieces,Bakery,veg,111
114.2,pieces,Packaged Food,veg,104
184.7,pieces,Bakery,veg,81
8.8,boxes,Bakery,nonveg,95
104.3,plates,Other,veg,116
20.7,kg,Bakery,nonveg,47
11.4,liters,Cooked Meal,nonveg,17
8.7,boxes,Other,veg,70
113.3,plates,Bakery,nonveg,107
26.0,liters,Produce,veg,56
8.5,kg,Cooked Meal,veg,23
19.7,kg,Dairy,nonveg,84
145.8,plates,Packaged Food,nonveg,204
38.7,kg,Other,nonveg,88
22.3,kg,Produce,nonveg,29
154.8,pieces,Other,veg,84
50.1,pieces,Cooked Meal,veg,25
24.9,kg,Dairy,nonveg,78
75.6,pieces,Cooked Meal,nonveg,35
41.0,kg,Cooked Meal,nonveg,109
33.3,liters,Dairy,veg,142
144.8,plates,Dairy,nonveg,169
20.6,liters,Dairy,nonveg,72
8.2,boxes,Dairy,veg,66
178.6,pieces,Cooked Meal,veg,90
4.3,kg,Cooked Meal,veg,12
156.7,pieces,Cooked Meal,veg,76
12.9,liters,Dairy,nonveg,54
3.7,boxes,Packaged Food,veg,42
20.5,boxes,Packaged Food,veg,223
20.7,kg,Other,veg,45
27.3,liters,Bakery,veg,66
9.1,boxes,Bakery,veg,91
12.3,plates,Packaged Food,veg,23
46.4,kg,Dairy,veg,193
26.1,boxes,Packaged Food,veg,295
1.1,liters,Cooked Meal,nonveg,2
210.5,pieces,Packaged Food,nonveg,227
27.4,plates,Other,nonveg,23
113.5,plates,Dairy,veg,192
25.6,kg,Cooked Meal,nonveg,61
4.4,kg,Dairy,veg,17
6.9,liters,Cooked Meal,nonveg,15
21.5,kg,Dairy,veg,81
140.5,plates,Dairy,nonveg,177
43.6,pieces,Bakery,nonveg,19
98.3,pieces,Other,nonveg,45
15.6,plates,Packaged Food,veg,22
24.2,plates,Bakery,nonveg,26
51.5,pieces,Bakery,nonveg,20
202.0,pieces,Dairy,veg,75
6.7,liters,Cooked Meal,nonveg,12
